No.URLLC,No.mMTC,URLLC_wait,mMTC_wait,URLLC_loss,mMTC_loss
17,4000,0.2480574505403332,70.27706919139119,0.0,0.7003158814436454
17,4500,0.25326937882616507,73.26975153997061,0.0,0.7302489897645607
17,5000,0.2493118796428134,76.09067395911474,0.0,0.7584518561045095
18,500,0.2557615665930013,0.24940251255296444,0.0,0.0
18,1000,0.25137007099047365,0.4005995025235357,0.0,0.0
18,1500,0.24587473751009814,23.759678210226433,0.0,0.23495761251636915
18,2000,0.25029535462138025,41.741103410754064,0.0,0.41496455209129485
18,2500,0.25565200446385294,53.09184057272557,0.0,0.5284734170224517
18,3000,0.2507922540862662,60.75549098072428,0.0,0.6051124235093212
18,3500,0.25339872881815073,66.37514401175166,0.0,0.6613161628953753
18,4000,0.24857565202391982,70.36195377007738,0.0,0.7011698504368429
18,4500,0.25190911341254624,73.44846247358386,0.0,0.7320411316018152
18,5000,0.24523425621056702,76.17006584505799,0.0,0.7592389712661757
19,500,0.2554089518978651,0.25151931071594047,0.0,0.0
19,1000,0.24657760249654354,0.4547453963834976,0.0,0.0
19,1500,0.24758313737259474,24.3774798971435,0.0,0.24113182926410495
19,2000,0.2456261317449611,42.34654171160782,0.0,0.4210140180793921
19,2500,0.2502739541761055,53.214716142912074,0.0,0.5297071842015663
19,3000,0.25148067981847533,60.7301663518325,0.0,0.6048669718209126
19,3500,0.25099222943899957,66.22518354330194,0.0,0.65981555894262
19,4000,0.2499515537998244,70.55511369237873,0.0,0.7031040042999194
19,4500,0.2513272148045719,73.65833142903806,0.0,0.7341339558614715
19,5000,0.2472971424481032,76.26527510379907,0.0,0.7602040262629551
20,500,0.25142183942285096,0.2505017696439335,0.0,0.0
20,1000,0.2574625446191205,0.42856406515005896,0.0,0.0
20,1500,0.2518188826095836,24.384099095230255,0.0,0.24123185157085217
20,2000,0.24502146660841265,42.7354230942156,0.0,0.4248967428242798
20,2500,0.24473475723912494,53.87873482102173,0.0,0.5363458174384049
20,3000,0.24930727562887328,61.09733395272711,0.0,0.6085416852033099
20,3500,0.2510056837828231,66.47752946249241,0.0,0.662328094302554
20,4000,0.25257488072972395,70.4753077764486,0.0,0.7023029876596666
20,4500,0.251582372880286,73.74231878914723,0.0,0.734967048589776
20,5000,0.2509273953372842,76.29361602517726,0.0,0.760481193184911
