No.URLLC,No.mMTC,URLLC_wait,mMTC_wait,URLLC_loss,mMTC_loss
7,4500,0.24867560147799347,73.81796039420456,0.0,0.7357370402548509
7,5000,0.25660775203450825,76.4951580362946,0.0,0.7625035259400699
8,500,0.24680250987261948,0.261343141562408,0.0,0.0
8,1000,0.24582356854002396,0.5593774059428583,0.0,0.0
8,1500,0.25097654136852277,26.687001177180594,0.0,0.26427111716621254
8,2000,0.24921815911069836,43.555990592580244,0.0,0.4331093142917148
8,2500,0.2513180069841974,54.58329673062854,0.0,0.5433927967534663
8,3000,0.25021792620128136,61.86214010355851,0.0,0.6161761569631051
8,3500,0.2529646182451775,66.86371135435232,0.0,0.6661928745789946
8,4000,0.25614033456373425,71.09539332132665,0.0,0.7085177588254346
8,4500,0.24898885352024977,74.33403613584103,0.0,0.740890931122602
8,5000,0.24800606125456323,76.73816097867274,0.0,0.7649267130219045
9,500,0.24649156107904643,0.26174163379668053,0.0,0.0
9,1000,0.25843385007885056,0.6056392240596382,0.0,0.0
9,1500,0.2535960064371136,26.38570919901724,0.0,0.2611968777103209
9,2000,0.24640229561590965,44.516447094261494,0.0,0.44271814187068426
9,2500,0.25887827342240843,54.602515076110464,0.0,0.5435900732930435
9,3000,0.2668864564334685,62.257696682192,0.0,0.6201455012303413
9,3500,0.26144242971840953,67.55828793691522,0.0,0.6731397542680962
9,4000,0.25828696110394145,71.3722998847562,0.0,0.7112749549354187
9,4500,0.24692630870352913,74.61984482176088,0.0,0.7437405296197417
9,5000,0.2506969624606614,77.16338611931884,0.0,0.7691757670306812
10,500,0.2524929829580532,0.2633846851401808,0.0,0.0
10,1000,0.25598416311799366,0.7589478077031637,0.0,0.0
10,1500,0.24663091167363232,28.066327165179395,0.0,0.278060522696011
10,2000,0.25397706561799077,44.78607039916443,0.0,0.445409429280397
10,2500,0.2491612904073116,55.75331961956923,0.0,0.5550825921219822
10,3000,0.25366716678538653,62.970649496102084,0.0,0.6272624032933494
10,3500,0.24867280116164914,67.89658166704965,0.0,0.676515874726696
10,4000,0.2565367947775105,71.95410016529043,0.0,0.7170978172999192
10,4500,0.2534603202871492,74.88474117061175,0.0,0.7464028776978417
10,5000,0.2544396751253856,77.390562253803,0.0,0.7714537617554859
11,500,0.2530895275245927,0.262867699451597,0.0,0.0
11,1000,0.24506103774409596,0.7559036578002779,0.0,0.0
11,1500,0.25297042714554663,29.4721998191491,0.0,0.2921624948707427
11,2000,0.2448094232123916,45.880423734061004,0.0,0.4563499356735894
11,2500,0.25211243782087617,56.07503586011445,0.0,0.558303811515643
11,3000,0.24540301753054494,63.45114233698218,0.0,0.6320664154163408
11,3500,0.25363511585295684,68.37945208141569,0.0,0.6813411706776635
11,4000,0.2584422304892446,72.28039289713406,0.0,0.7203489392732232
11,4500,0.2516989266365294,75.31857623980021,0.0,0.7507311261147417
11,5000,0.2521623874906794,77.81377558065722,0.0,0.7756790711779231
12,500,0.2495873544175624,0.2678554423820905,0.0,0.0
12,1000,0.2552690739780361,1.225251388620727,0.0,0.0031837628096706796
12,1500,0.24917167992183545,30.09576246023921,0.0,0.2983837689133425
12,2000,0.2526700879336404,46.6880694407909,0.0,0.4644262553124508
12,2500,0.2470822826967138,57.1024001077487,0.0,0.5685648432048381
12,3000,0.24700708069415434,63.777268042414356,0.0,0.6353286028347245
12,3500,0.25184284732378615,68.81851914023636,0.0,0.6857516742360096
12,4000,0.24869538187831422,72.6307023437045,0.0,0.7238568507711264
12,4500,0.2517417707119634,75.55756502664285,0.0,0.7531195589088798
12,5000,0.2467765213290696,78.1092944097919,0.0,0.7786287697982208
13,500,0.25791747482890387,0.28037413542275896,0.0,0.0
13,1000,0.25261078169338136,1.938711522276189,0.0,0.006423662981774723
13,1500,0.24654473796403548,31.843389102463863,0.0,0.31588975842123174
